REF;Marca;Nome do Produto;Linha;Valor;Descrição Geral;Código de Barras;;Modo de Uso;Composição;Link do Produto
3344;Grandha;Óleo Essencial de Citronela 10 ml;Alkymia;47.75;"
ÓLEO ESSENCIAL DE CITRONELA
O óleo essencial de citronela é antidepressivo e antisséptico, tem um grande efeito sobre a mente, através do seu aroma. Consegue aliviar sensações de depressão.
Alkymia di Grandha oferece diversos óleos essenciais para aplicação em massagens e terapias complementares. Os óleos essenciais de Alkymia di Grandha são integrais e não possuem qualquer adição de corantes, conservantes ou complementos de fragrâncias.
 
MODO DE USO
Em massagens corporais, faciais, cranianas ou até mesmo em preparados para hidratação e lubrificação dos cabelos. Associe 5 gotas de óleo essencial para cada 10 ml de óleo vegetal carreador.
 
INFORMAÇÕES IMPORTANTES

Produto certificado pela ABT - Academia Brasileira de Tricologia.
Óleo essencial puro.
Propriedades naturais preservadas, sem adição de corantes ou fragrâncias.
Não testado em animais.





                Largura
            

                3.00 cm
            




                Altura
            

                5.00 cm
            




                Comprimento
            

                3.00 cm
            




                Peso
            

                20.00 g
            


";7.89831E+12;'7898305624471;"



";;https://www.lojagrandha.com.br/terapia-e-couro-cabeludo/oleo-essencial-de-citronela-10-ml
3340;Grandha;Óleo Essencial de Capim-Limão 10 ml;Alkymia;65.26;"
ÓLEO ESSENCIAL DE CAPIM-LIMÃO
O óleo essencial de capim-limão é antisséptico, fungicida, bactericida e adstringente. Diminui a oleosidade do couro cabeludo e da pele. Ideal para terapia capilar.
Alkymia di Grandha oferece diversos óleos essenciais para aplicação em massagens e terapias complementares. Os óleos essenciais de Alkymia di Grandha são integrais e não possuem qualquer adição de corantes, conservantes ou complementos de fragrâncias.
 
MODO DE USO
Em massagens corporais, faciais, cranianas ou até mesmo em preparados para hidratação e lubrificação dos cabelos. Associe 5 gotas de óleo essencial para cada 10 ml de óleo vegetal carreador.
 
INFORMAÇÕES IMPORTANTES

Produto certificado pela ABT - Academia Brasileira de Tricologia.
Óleo essencial puro.
Propriedades naturais preservadas, sem adição de corantes ou fragrâncias.
Não testado em animais.





                Largura
            

                3.00 cm
            




                Altura
            

                5.00 cm
            




                Comprimento
            

                3.00 cm
            




                Peso
            

                20.00 g
            


";7.89831E+12;'7898305624433;"



";;https://www.lojagrandha.com.br/terapia-e-couro-cabeludo/oleo-essencial-de-capim-limao-10-ml
3342;Grandha;Óleo Essencial de Cânfora Branca 10 ml;Alkymia;68.18;"
ÓLEO ESSENCIAL DE CÂNFORA BRANCA
O óleo essencial de cânfora branca é um estimulante da circulação corporal, anti-inflamatório e analgésico, combate a celulite e as varizes, quando aplicado em massagens.
Alkymia di Grandha oferece diversos óleos essenciais para aplicação em massagens e terapias complementares. Os óleos essenciais de Alkymia di Grandha são integrais e não possuem qualquer adição de corantes, conservantes ou complementos de fragrâncias.
 
MODO DE USO
Em massagens corporais, faciais, cranianas ou até mesmo em preparados para hidratação e lubrificação dos cabelos. Associe 5 gotas de óleo essencial para cada 10 ml de óleo vegetal carreador.
 
INFORMAÇÕES IMPORTANTES

Produto certificado pela ABT - Academia Brasileira de Tricologia.
Óleo essencial puro.
Propriedades naturais preservadas, sem adição de corantes ou fragrâncias.
Não testado em animais.





                Largura
            

                3.00 cm
            




                Altura
            

                5.00 cm
            




                Comprimento
            

                3.00 cm
            




                Peso
            

                20.00 g
            


";7.89831E+12;'7898305624457;"



";;https://www.lojagrandha.com.br/terapia-e-couro-cabeludo/oleo-essencial-de-canfora-branca-10-ml
3516;Grandha;Óleo Essencial de Canela Cássia 10 ml;Alkymia;137.22;"
ÓLEO ESSENCIAL DE CANELA CÁSSIA
O óleo essencial de canela cássia é muito eficiente no combate a fungos causadores de alergias respiratórias e microrganismos infecciosos. Forte antioxidante, com propriedades anticancerígenas.
Alkymia di Grandha oferece diversos óleos essenciais para aplicação em massagens e terapias complementares. Os óleos essenciais de Alkymia di Grandha são integrais e não possuem qualquer adição de corantes, conservantes ou complementos de fragrâncias.
 
MODO DE USO
Em massagens corporais, faciais, cranianas ou até mesmo em preparados para hidratação e lubrificação dos cabelos. Associe 5 gotas de óleo essencial para cada 10 ml de óleo vegetal carreador.
 
INFORMAÇÕES IMPORTANTES

Produto certificado pela ABT - Academia Brasileira de Tricologia.
Óleo essencial puro.
Propriedades naturais preservadas, sem adição de corantes ou fragrâncias.
Não testado em animais.





                Largura
            

                3.00 cm
            




                Altura
            

                5.00 cm
            




                Comprimento
            

                3.00 cm
            




                Peso
            

                20.00 g
            


";7.89831E+12;'7898305625669;"



";;https://www.lojagrandha.com.br/terapia-e-couro-cabeludo/oleo-essencial-de-canela-cassia-10-ml
3334;Grandha;Óleo Essencial de Bergamota 10 ml;Alkymia;119.87;"
ÓLEO ESSENCIAL DE BERGAMOTA
O óleo essencial de bergamota protege a pele e o couro cabeludo de rachaduras e fissuras. Combate psoríases, acne, eczema e auxilia na quebra de depósitos linfáticos.
Alkymia di Grandha oferece diversos óleos essenciais para aplicação em massagens e terapias complementares. Os óleos essenciais de Alkymia di Grandha são integrais e não possuem qualquer adição de corantes, conservantes ou complementos de fragrâncias.
 
MODO DE USO
Em massagens corporais, faciais, cranianas ou até mesmo em preparados para hidratação e lubrificação dos cabelos. Associe 5 gotas de óleo essencial para cada 10 ml de óleo vegetal carreador.
 
INFORMAÇÕES IMPORTANTES

Produto certificado pela ABT - Academia Brasileira de Tricologia.
Óleo essencial puro.
Propriedades naturais preservadas, sem adição de corantes ou fragrâncias.
Não testado em animais.





                Largura
            

                3.00 cm
            




                Altura
            

                5.00 cm
            




                Comprimento
            

                3.00 cm
            




                Peso
            

                20.00 g
            


";7.89831E+12;'7898305624372;"



";;https://www.lojagrandha.com.br/terapia-e-couro-cabeludo/oleo-essencial-de-bergamota-10-ml
3348;Grandha;Argila Branca para Pele Ressecada e Sensível 120g;Alkymia;62.39;"
ARGILA BRANCA REFINADA PURA E NATURAL
A argila branca é ideal para peles sensíveis e com tendências naturais ao ressecamento. Terapias complementares que usam os mais variados tipos de argilas para a remoção de toxinas, oleosidades e para o melhoramento da textura da pele e do cabelo. Este é um dos mais antigos e bem-sucedidos rituais de beleza da história. Sua comprovação técnica e eficácia destacam a crescente aplicação deste recurso técnico.
É a mais leve de todas as argilas. Indicada para peles sensíveis e desidratadas. Contém maior percentual de alumínio e é composta principalmente por sílica, mineral de extrema suavidade e alta compatibilidade com a pele e com o couro cabeludo. Aplicável em variados tipos de terapias faciais, corporais e em procedimentos específicos da terapia capilar.
A argila branca de Alkymia di Grandha é refinada e possui toque sedoso e aveludado, com amplo potencial de clareamento da pele para o tratamento de manchas, além de cicatrizante e hidratante. Absorve a oleosidade sem desidratar a pele e o cabelo. Possui toque refrescante e proporciona sensação de bem-estar. Comumente aplicada em máscaras faciais e tratamentos de cabelos secos e desidratados. Um clássico da argiloterapia.


MODO DE USO
Dissolva 10 gramas de argila branca Alkymia di Grandha em quantidade suficiente de água nutritiva ou termal, até alcançar viscosidade e textura agradáveis à aplicação. Higienize o local de aplicação com loção de limpeza ou lenço umedecido. Aplique o preparado de argila, sobrepondo a região com uma camada fina, sem obstruir a pele. Mantenha a argila sobre a pele por 10 minutos e remova-a com enxágue convencional ou com a boneca de gaze umedecida - algodão envolto em gaze. Finalize o procedimento.


INFORMAÇÕES IMPORTANTES

Propriedades naturais preservadas.
Certificado pela ABT - Academia Brasileira de Tricologia.
Produto 100% natural.
Sem corantes.
Sem conservantes.
Não testado em animais.





                Largura
            

                6.00 cm
            




                Altura
            

                10.00 cm
            




                Comprimento
            

                6.00 cm
            




                Peso
            

                200.00 g
            


";7.89831E+12;'7898305624518;"



";;https://www.lojagrandha.com.br/terapia-e-couro-cabeludo/argila-branca-refinada-grandha-120g
3389;Grandha;Óleo Essencial de Anis Estrelado 10 ml;Alkymia;102.87;"
ÓLEO ESSENCIAL DE ANIS ESTRELADO
 
O óleo essencial de anis estrelado aumenta a elasticidade e normaliza a camada lipídica da epiderme, acelera a regeneração das células e alivia a depressão e estimula a atividade sexual.
 
Alkymia di Grandha oferece diversos óleos essenciais para aplicação em massagens e terapias complementares. Os óleos essenciais de Alkymia di Grandha são integrais e não possuem qualquer adição de corantes, conservantes ou complementos de fragrâncias.
 
MODO DE USO
Em massagens corporais, faciais, cranianas ou até mesmo em preparados para hidratação e lubrificação dos cabelos. Associe 5 gotas de óleo essencial para cada 10 ml de óleo vegetal carreador.
 
INFORMAÇÕES IMPORTANTES

Produto certificado pela ABT - Academia Brasileira de Tricologia.
Óleo essencial puro.
Propriedades naturais preservadas, sem adição de corantes ou fragrâncias.
Não testado em animais.





                Largura
            

                3.00 cm
            




                Altura
            

                5.00 cm
            




                Comprimento
            

                3.00 cm
            




                Peso
            

                20.00 g
            


";7.89831E+12;'7898305624730;"



";;https://www.lojagrandha.com.br/terapia-e-couro-cabeludo/oleo-essencial-de-anis-estrelado-10-ml
3339;Grandha;Óleo Essencial de Alecrim 10 ml;Alkymia;68.52;"
ÓLEO ESSENCIAL DE ALECRIM
O óleo de alecrim é um tônico capilar, fortalecedor do sistema circulatório, que combate a queda capilar. Atua contra a celulite, problemas nos músculos e articulações.
Alkymia di Grandha oferece diversos óleos essenciais para aplicação em massagens e terapias complementares. Os óleos essenciais de Alkymia di Grandha são integrais e não possuem qualquer adição de corantes, conservantes ou complementos de fragrâncias.
 
MODO DE USO
Em massagens corporais, faciais, cranianas ou até mesmo em preparados para hidratação e lubrificação dos cabelos. Associe 5 gotas de óleo essencial para cada 10 ml de óleo vegetal carreador.
 
INFORMAÇÕES IMPORTANTES

Produto certificado pela ABT - Academia Brasileira de Tricologia.
Óleo essencial puro.
Propriedades naturais preservadas, sem adição de corantes ou fragrâncias.
Não testado em animais.





                Largura
            

                3.00 cm
            




                Altura
            

                5.00 cm
            




                Comprimento
            

                3.00 cm
            




                Peso
            

                20.00 g
            


";7.89831E+12;'7898305624426;"



";;https://www.lojagrandha.com.br/terapia-e-couro-cabeludo/oleo-essencial-de-alecrim-10-ml
3553;Grandha;Extrato de Chá Verde Oil Extract 120ml;Alkymia - Green Tea;76.03;"
OIL EXTRACT GREEN TEA ALKYMIA DI GRANDHA
Na pele, é um fotoprotetor endógeno e evita os efeitos nocivos da exposição ao sol. Nos cabelos, é um tônico revigorante e contribui com o prolongamento da fase anágena dos cabelos. O Oil Extract Green Tea (extrato de chá verde) possui propriedades antioxidantes, adstringentes, anti-inflamatórias, antibacterianas, antilipêmicas, hipotensivas, antidiabéticas e antimutagênicas.
O extrato oleoso de chá verde é produzido a partir da infusão das folhas da planta Camellia sinensis e é chamado de verde porque suas folhas sofrem pouquíssima oxidação durante seu processamento. Este extrato possui 4 poderosos grupos de polifenois, conhecidos como catequinas (EC, ECG, EGC e EGCG. É rico em taninos, que diminuem as taxas de LDL (colersterol ruim), fortalecendo as artérias e veias, a fim de contribuir à prevenção de doenças cardíacas e circulatórios. Também possui manganês, potássio, ácido fólico, vitaminas C, K, B1, B2 e alta dosagem de cafeína. Possui propriedades antioxidantes, adstringentes, anti-inflamatórias, antibacterianas, antipilêmicas, hipotensivas, antidiabéticas e antimutagênicas.


MODO DE USO
O Extrato Oleoso de Chá Verde pode ser usado estrategicamente para protocolos de massagens e drenagem linfática para a redução de medidas e emagrecimento, melhorando a atividade enzimática e a secreção de adrenalina. Destaca-se como excelente recurso para a prevenção de diabetes e pode ser aplicado junto a outros produtos em protocolos capilares. Possui amplo potencial de associação com óleos vegetais e propõe diversas combinações e sinergias com óleos essenciais para protocolos. É um ícone do novo e moderno contexto da saúde integrativa e pode ser aplicado nos mais diversos rituais de saúde, beleza e bem-estar.


INFORMAÇÕES IMPORTANTES

Certificado por ENATI - Escola Nacional de Terapias Integrativas.
Certificado por ABT - Academia Brasileira de Tricologia.
Produto fitoterápico: pode haver precipitação dos principais ativos durante o armazenamento. Recomenda-se agitar o produto antes de usar.
Não testado em animais.





                Largura
            

                5.00 cm
            




                Altura
            

                17.00 cm
            




                Comprimento
            

                5.00 cm
            




                Peso
            

                130.00 g
            


";7.89831E+12;'7898305625751;"



";;https://www.lojagrandha.com.br/terapia-e-couro-cabeludo/oil-extract-green-tea-120-ml
3046;Grandha;Finalizador para Controle de Volume Leave-on 150g;Oil Cup Leave-on;70.07;"
OIL CUP LEAVE-ON
O Oil Cup Leave-on é um finalizador para todo tipo de cabelo e oferece efeito hidratante para redução e controle do volume. Finalizador do kit Straight, especial para cabelos alisados por hidróxidos de sódio ou guanidina. Pode ser usado também em todo tipo de cabelo e oferece efeito hidratante para redução e controle do volume.
Um sistema hidratante de modelagem e controle para uma perfeita definição dos cabelos. Prioriza a leveza e o conforto dos ativos naturais com uma experiência olfativa única e uma formulação repleta de benefícios e associações de óleos vegetais preservados de abacate, coco e algodão.
Fórmula verde com foco nos princípios da sustentabilidade com aplicações inteligentes da fitoterapia cosmética, enriquecida com óleos essenciais de melaleuca, sândalo e capim limão para a valorização da beleza e do bem-estar.
 
INFORMAÇÕES IMPORTANTES

Não testado em animais.
Nova fórmula.
Reposição lipídica para redução e controle do volume.
Fitoterapia de alto desempenho com óleos vegetais preservados.
Dermatologicamente testado.





                Largura
            

                6.00 cm
            




                Altura
            

                18.00 cm
            




                Comprimento
            

                4.00 cm
            




                Peso
            

                160.00 g
            


";7.89831E+12;'7898305629889;"


MODO DE USO
Aplique o Oil Cup Leave-on e distribua-o uniformemente sobre os cabelos limpos e levemente úmidos. Estilize os cabelos mecha a mecha, explorando todo o comprimento dos fios. Modele-os com as mãos ou com o auxílio de um secador ou difusor. Não enxágue.

";Água, Álcool Cetílico, Álcool Estearílico, Álcool Miristílico, Álcool Laurílico, Cloreto de Cetrimônio, Álcool Etílico, Propilenoglicol, Cloreto de Guar Hidroxipropiltrimônio, Amino Bispropil Dimeticona, Dimeticonol, Dodecilbenzenossulfonato de TEA, Decametilciclopentasiloxano, Benzoato de Sódio, Sorbato de Potássio, Cloreto de Beentrimônio, Álcool Isopropílico, Crospolímero de Dimeticona, Perfume, Óleo da Castanha de Elaeis Guineensis, Óleo de Algodão, Óleo Persea Gratissima, Proteína de Trigo Hidrolisada, Proteína de Avena Sativa, Proteína de Prunus Amygdalus Dulcis, Estereato de Sódio, Fenoxietanol, Edetato Dissódico Di-hidratado, Poliquatérnio-10, Acetato de Sódio, Tetra-DI-t-Butil Hidroxiidrocinamato de Pentaeritritila, Ácido Cítrico, Óleo de Melaleuca, Óleo do Córtex de Amyris Balsamifera, Óleo da Folha Cymbopogon Citratus, Cloreto de Sódio, Alpha-Isometil Ionona, Salicilato de Benzila, Dextrolimoneno, Amil Cinamal, Citronelol, Cumarina, Linalol.;https://www.lojagrandha.com.br/finalizadores/oil-cup-leave-in-150-g
